"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D1,D2";"LED_D3.0mm";2;"RED";;;
2;"U1";"ICM7555-PDIP";1;"7555";;;
3;"C1";"CP_Radial_D5.0mm_P2.00mm";1;"10uF";;;
4;"C2";"CP_Radial_D6.3mm_P2.50mm";1;"100uF";;;
5;"Q1";"TO-92-3";1;"2N3904";;;
6;"R1,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"22k";;;
7;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"330k";;;
8;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"100k";;;
9;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"10k";;;
10;"R6,R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"100";;;
11;"BAT1";"BS-7";1;"BS-7";;;
12;"S1";"EG1218";1;"EG1218";;;
